tau,theta,R1,R5,R10,active_rate,mean_alpha
0.75,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9993367791175842
0.75,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9993367791175842
0.75,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9993367791175842
0.75,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
0.75,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
1.0,0.0,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49510103464126587
1.0,0.005,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49510103464126587
1.0,0.01,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49510103464126587
1.0,0.015,81.98198198198197,90.09009009009009,92.34234234234235,0.9954954954954955,0.49753186106681824
1.0,0.02,81.98198198198197,90.09009009009009,92.34234234234235,0.963963963963964,0.5171231031417847
1.0,0.025,82.43243243243244,90.09009009009009,92.34234234234235,0.8783783783783784,0.5664180517196655
1.0,0.03,82.43243243243244,90.54054054054053,92.34234234234235,0.7837837837837838,0.6126548647880554
1.0,0.035,83.33333333333334,90.990990990991,92.34234234234235,0.6441441441441441,0.6876701712608337
1.0,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7624265551567078
1.0,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.825493574142456
1.0,0.05,84.23423423423422,90.990990990991,92.34234234234235,0.27927927927927926,0.8822212815284729
1.0,0.055,85.13513513513513,91.8918918918919,92.34234234234235,0.1891891891891892,0.9257849454879761
1.0,0.06,85.13513513513513,91.8918918918919,92.34234234234235,0.13513513513513514,0.9497412443161011
1.0,0.065,85.13513513513513,91.8918918918919,92.34234234234235,0.0945945945945946,0.9640362858772278
1.0,0.07,85.58558558558559,91.8918918918919,92.34234234234235,0.05855855855855856,0.9764778017997742
1.0,0.075,85.58558558558559,91.8918918918919,92.34234234234235,0.036036036036036036,0.9857639670372009
1.0,0.08,85.58558558558559,91.8918918918919,92.34234234234235,0.02252252252252252,0.9901463389396667
1.0,0.085,85.58558558558559,91.8918918918919,92.34234234234235,0.013513513513513514,0.9946281909942627
1.0,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9990484118461609
1.0,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9990484118461609
1.0,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9990484118461609
1.0,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9990484118461609
1.0,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9990484118461609
1.0,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
1.0,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
1.5,0.0,82.43243243243244,90.09009009009009,92.34234234234235,1.0,0.4981532692909241
1.5,0.005,82.43243243243244,90.09009009009009,92.34234234234235,1.0,0.4981532692909241
1.5,0.01,82.43243243243244,90.09009009009009,92.34234234234235,1.0,0.4981532692909241
1.5,0.015,82.43243243243244,90.09009009009009,92.34234234234235,0.9954954954954955,0.5005246996879578
1.5,0.02,82.43243243243244,90.09009009009009,92.34234234234235,0.963963963963964,0.5189793705940247
1.5,0.025,82.88288288288288,90.09009009009009,92.34234234234235,0.8783783783783784,0.566447377204895
1.5,0.03,82.88288288288288,90.54054054054053,92.34234234234235,0.7837837837837838,0.6127994060516357
1.5,0.035,83.78378378378379,90.990990990991,92.34234234234235,0.6441441441441441,0.6859207153320312
1.5,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7571632266044617
1.5,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.8194074034690857
1.5,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.8765347003936768
1.5,0.055,84.68468468468468,91.8918918918919,92.34234234234235,0.1891891891891892,0.9204570055007935
1.5,0.06,84.68468468468468,91.8918918918919,92.34234234234235,0.13513513513513514,0.945086658000946
1.5,0.065,84.68468468468468,91.8918918918919,92.34234234234235,0.0945945945945946,0.9610542058944702
1.5,0.07,85.13513513513513,91.8918918918919,92.34234234234235,0.05855855855855856,0.974833607673645
1.5,0.075,85.13513513513513,91.8918918918919,92.34234234234235,0.036036036036036036,0.9846697449684143
1.5,0.08,85.13513513513513,91.8918918918919,92.34234234234235,0.02252252252252252,0.9897425770759583
1.5,0.085,85.13513513513513,91.8918918918919,92.34234234234235,0.013513513513513514,0.9942305684089661
1.5,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9986777305603027
1.5,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9986777305603027
1.5,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9986777305603027
1.5,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9986777305603027
1.5,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9986777305603027
1.5,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
1.5,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
2.0,0.0,82.88288288288288,90.09009009009009,92.34234234234235,1.0,0.49914219975471497
2.0,0.005,82.88288288288288,90.09009009009009,92.34234234234235,1.0,0.49914219975471497
2.0,0.01,82.88288288288288,90.09009009009009,92.34234234234235,1.0,0.49914219975471497
2.0,0.015,82.88288288288288,90.09009009009009,92.34234234234235,0.9954954954954955,0.5014839172363281
2.0,0.02,82.88288288288288,90.09009009009009,92.34234234234235,0.963963963963964,0.5193058848381042
2.0,0.025,83.33333333333334,90.09009009009009,92.34234234234235,0.8783783783783784,0.5657061338424683
2.0,0.03,83.33333333333334,90.54054054054053,92.34234234234235,0.7837837837837838,0.6122122406959534
2.0,0.035,83.78378378378379,90.990990990991,92.34234234234235,0.6441441441441441,0.6844386458396912
2.0,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7537518739700317
2.0,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.8156065344810486
2.0,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.8730211853981018
2.0,0.055,84.68468468468468,91.8918918918919,92.34234234234235,0.1891891891891892,0.9171809554100037
2.0,0.06,84.68468468468468,91.8918918918919,92.34234234234235,0.13513513513513514,0.9422940015792847
2.0,0.065,84.68468468468468,91.8918918918919,92.34234234234235,0.0945945945945946,0.9592393636703491
