backbone,dataset,alpha,R1,R5,R10
EigenPlaces,nordland,0.56,48.75,78.25,87.75
EigenPlaces,nordland,0.57,48.75,78.25,87.75
EigenPlaces,nordland,0.58,49.0,78.5,87.75
EigenPlaces,nordland,0.59,49.25,78.25,87.75
EigenPlaces,nordland,0.6,49.75,78.25,87.75
EigenPlaces,nordland,0.61,50.0,78.0,87.75
EigenPlaces,nordland,0.62,49.75,78.5,87.75
EigenPlaces,nordland,0.63,50.24999999999999,78.0,87.75
EigenPlaces,nordland,0.64,50.24999999999999,78.0,87.75
EigenPlaces,nordland,0.65,50.24999999999999,78.25,87.75
EigenPlaces,nordland,0.66,50.74999999999999,77.75,87.75
EigenPlaces,nordland,0.67,51.0,77.25,87.75
EigenPlaces,nordland,0.68,51.24999999999999,77.0,87.75
EigenPlaces,nordland,0.69,51.0,77.0,87.75
EigenPlaces,nordland,0.7,51.24999999999999,77.0,87.75
EigenPlaces,nordland,0.71,51.0,77.25,87.75
EigenPlaces,nordland,0.72,51.5,77.0,87.75
EigenPlaces,nordland,0.73,51.24999999999999,77.0,87.75
EigenPlaces,nordland,0.74,51.5,76.75,87.75
EigenPlaces,nordland,0.75,51.5,76.75,87.75
EigenPlaces,nordland,0.76,51.74999999999999,76.75,87.75
EigenPlaces,nordland,0.77,51.74999999999999,76.75,87.75
EigenPlaces,nordland,0.78,51.74999999999999,76.75,87.75
EigenPlaces,nordland,0.79,51.5,76.5,87.75
EigenPlaces,nordland,0.8,51.5,76.5,87.75
EigenPlaces,nordland,0.81,51.74999999999999,76.5,87.75
EigenPlaces,nordland,0.82,52.0,76.5,87.75
EigenPlaces,nordland,0.83,52.75,76.0,87.75
EigenPlaces,nordland,0.84,53.0,76.0,87.75
EigenPlaces,nordland,0.85,53.25,75.5,87.75
EigenPlaces,nordland,0.86,53.25,75.75,87.75
EigenPlaces,nordland,0.87,53.25,75.75,87.75
EigenPlaces,nordland,0.88,53.25,75.5,87.75
EigenPlaces,nordland,0.89,53.25,75.75,87.75
EigenPlaces,nordland,0.9,53.0,75.5,87.75
EigenPlaces,nordland,0.91,53.25,75.75,87.75
EigenPlaces,nordland,0.92,53.0,75.5,87.75
EigenPlaces,nordland,0.93,53.0,75.5,87.75
EigenPlaces,nordland,0.94,53.0,76.0,87.75
EigenPlaces,nordland,0.95,52.75,75.75,87.75
EigenPlaces,nordland,0.96,53.0,76.0,87.75
EigenPlaces,nordland,0.97,52.5,76.0,87.75
EigenPlaces,nordland,0.98,53.0,76.0,87.75
EigenPlaces,nordland,0.99,53.0,76.0,87.75
EigenPlaces,nordland,1.0,52.75,76.25,87.75
CosPlace,amstertime,0.0,23.23314378554021,51.096669374492286,60.84484159220146
CosPlace,amstertime,0.01,23.31437855402112,51.34037367993501,60.84484159220146
CosPlace,amstertime,0.02,23.72055239642567,51.58407798537774,60.84484159220146
CosPlace,amstertime,0.03,24.45166531275386,51.90901705930138,60.84484159220146
CosPlace,amstertime,0.04,24.857839155158405,52.071486596263206,60.84484159220146
CosPlace,amstertime,0.05,25.182778229082047,52.15272136474412,60.84484159220146
CosPlace,amstertime,0.06,25.5889520714866,52.31519090170593,60.84484159220146
CosPlace,amstertime,0.07,26.157595450852966,52.396425670186844,60.84484159220146
CosPlace,amstertime,0.08,26.726238830219334,52.47766043866775,60.84484159220146
CosPlace,amstertime,0.09,26.96994313566206,52.55889520714866,60.84484159220146
CosPlace,amstertime,0.1,27.2948822095857,52.721364744110474,60.84484159220146
CosPlace,amstertime,0.11,27.94476035743298,53.046303818034126,60.84484159220146
CosPlace,amstertime,0.12,28.594638505280262,53.45247766043867,60.84484159220146
CosPlace,amstertime,0.13,29.000812347684807,53.777416734362305,60.84484159220146
CosPlace,amstertime,0.14,29.325751421608448,53.858651502843216,60.84484159220146
CosPlace,amstertime,0.15,29.488220958570267,54.02112103980503,60.84484159220146
CosPlace,amstertime,0.16,30.056864337936638,54.18359057676686,60.84484159220146
CosPlace,amstertime,0.17,30.300568643379368,54.18359057676686,60.84484159220146
CosPlace,amstertime,0.18,31.11291632818847,54.346060113728676,60.84484159220146
CosPlace,amstertime,0.19,31.84402924451665,54.346060113728676,60.84484159220146
CosPlace,amstertime,0.2,32.331437855402115,54.42729488220959,60.84484159220146
CosPlace,amstertime,0.21,32.49390739236393,54.5085296506905,60.84484159220146
CosPlace,amstertime,0.22,32.57514216084484,54.67099918765231,60.84484159220146
CosPlace,amstertime,0.23,32.90008123476848,54.83346872461413,60.84484159220146
CosPlace,amstertime,0.24,32.73761169780666,54.91470349309504,60.84484159220146
CosPlace,amstertime,0.25,33.0625507717303,55.07717303005687,60.84484159220146
CosPlace,amstertime,0.26,33.38748984565394,55.239642567018684,60.84484159220146
CosPlace,amstertime,0.27,33.63119415109667,55.239642567018684,60.84484159220146
CosPlace,amstertime,0.28,33.95613322502031,55.15840779853778,60.84484159220146
CosPlace,amstertime,0.29,34.36230706742486,55.48334687246141,60.84484159220146
CosPlace,amstertime,0.3,34.52477660438667,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.31,34.52477660438667,55.97075548334687,60.84484159220146
CosPlace,amstertime,0.32,34.76848090982941,55.97075548334687,60.84484159220146
CosPlace,amstertime,0.33,34.76848090982941,56.1332250203087,60.84484159220146
CosPlace,amstertime,0.34,35.01218521527213,56.214459788789604,60.84484159220146
CosPlace,amstertime,0.35,35.25588952071487,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.36,35.41835905767668,56.376929325751426,60.84484159220146
CosPlace,amstertime,0.37,35.662063363119415,56.376929325751426,60.84484159220146
CosPlace,amstertime,0.38,35.662063363119415,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.39,35.743298131600326,56.376929325751426,60.84484159220146
CosPlace,amstertime,0.4,35.82453290008124,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.41,35.743298131600326,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.42,36.149471974004875,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.43,36.230706742485786,56.376929325751426,60.84484159220146
CosPlace,amstertime,0.44,36.3931762794476,56.376929325751426,60.84484159220146
CosPlace,amstertime,0.45,36.555645816409424,56.53939886271324,60.84484159220146
CosPlace,amstertime,0.46,36.47441104792851,56.62063363119415,60.84484159220146
CosPlace,amstertime,0.47,36.636880584890335,56.62063363119415,60.84484159220146
CosPlace,amstertime,0.48,36.96181965881397,56.53939886271324,60.84484159220146
CosPlace,amstertime,0.49,36.79935012185215,56.53939886271324,60.84484159220146
CosPlace,amstertime,0.5,36.718115353371246,56.53939886271324,60.84484159220146
CosPlace,amstertime,0.51,36.636880584890335,56.295694557270515,60.84484159220146
CosPlace,amstertime,0.52,36.88058489033306,55.97075548334687,60.84484159220146
CosPlace,amstertime,0.53,37.043054427294884,56.051990251827775,60.84484159220146
CosPlace,amstertime,0.54,37.205523964256706,55.88952071486596,60.84484159220146
CosPlace,amstertime,0.55,37.124289195775795,55.88952071486596,60.84484159220146
CosPlace,amstertime,0.56,37.28675873273761,55.88952071486596,60.84484159220146
CosPlace,amstertime,0.57,37.36799350121852,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.58,37.28675873273761,55.56458164094232,60.84484159220146
